Name,Rider Number,Team,H,M,S
BRYAN COQUARD,52,COFIDIS,3,46,21
RÉMI CAVAGNA,132,QUICK-STEP ALPHA VINYL TEAM,3,46,21
JAMES SHAW,67,EF EDUCATION - EASYPOST,3,46,59
IVO MANUEL ALVES OLIVEIRA,173,UAE TEAM EMIRATES,3,47,5
PASCAL ACKERMANN,172,UAE TEAM EMIRATES,3,47,5
FILIPPO CONCA,113,LOTTO SOUDAL,3,48,48
THOMAS DE GENDT,111,LOTTO SOUDAL,3,49,25
ANTONIO TIBERI,168,TREK - SEGAFREDO,3,49,25
JOSE HERRADA,56,COFIDIS,3,49,25
IBAI AZURMENDI SAGASTIBELTZA,213,EUSKALTEL-EUSKADI,3,49,25
HECTOR CARRETERO,203,EQUIPO KERN PHARMA,3,49,25
DANIEL NAVARRO,196,BURGOS-BH,3,49,25
CEDRIC BEULLENS,112,LOTTO SOUDAL,3,49,25
ANDER OKAMIKA BENGOETXEA,197,BURGOS-BH,3,49,25
LUIS ANGEL MATE MARDONES,218,EUSKALTEL-EUSKADI,3,49,25
THOMAS CHAMPION,54,COFIDIS,3,49,25
VICTOR LANGELLOTTI,195,BURGOS-BH,3,49,25
JIMMY JANSSENS,183,ALPECIN - DECEUNINCK,3,49,25
JORIS NIEUWENHUIS,157,TEAM DSM,3,49,31
ROBERT STANNARD,185,ALPECIN - DECEUNINCK,3,49,34
FLORIS DE TIER,182,ALPECIN - DECEUNINCK,3,49,38
DANIEL MCLAY,225,TEAM ARKEA - SAMSIC,3,49,44
DANNY VAN POPPEL,48,BORA - HANSGROHE,3,49,44
RYAN MULLEN,47,BORA - HANSGROHE,3,49,44
FAUSTO MASNADA,135,QUICK-STEP ALPHA VINYL TEAM,3,49,44
SAM BENNETT,41,BORA - HANSGROHE,3,49,44
JOHN DEGENKOLB,154,TEAM DSM,3,49,44
JONAS KOCH,46,BORA - HANSGROHE,3,49,44
TIM MERLIER,181,ALPECIN - DECEUNINCK,3,49,44
GIANNI VERMEERSCH,187,ALPECIN - DECEUNINCK,3,49,44
MILES SCOTSON,77,GROUPAMA - FDJ,3,49,44
CARLOS CANAL BLANCO,215,EUSKALTEL-EUSKADI,3,49,44
GOTZON MARTIN SANZ,217,EUSKALTEL-EUSKADI,3,49,44
DAVIDE CIMOLAI,53,COFIDIS,3,49,44
ITAMAR EINHORN,104,ISRAEL-PREMIER TECH,3,49,44
JULIUS VAN DEN BERG,68,EF EDUCATION - EASYPOST,3,49,44
JAN HIRT,92,INTERMARCHE - WANTY - GOBERT MATERIAUX,3,49,56
HENRI VANDENABEELE,158,TEAM DSM,3,49,56
LIONEL TAMINIAUX,186,ALPECIN - DECEUNINCK,3,49,56
BOY VAN POPPEL,98,INTERMARCHE - WANTY - GOBERT MATERIAUX,3,51,54
JULIUS JOHANSEN,93,INTERMARCHE - WANTY - GOBERT MATERIAUX,3,51,57
GERBEN THIJSSEN,97,INTERMARCHE - WANTY - GOBERT MATERIAUX,3,51,57
